city,amount_open,GLA_sum_opened,under_construction,GLA_sum_construction,under_design,GLA_sum_design,Pop,comm_dencity,total,total_GLA,Х,Y
г. Омск,19,371500,0,0,0,0,1166092,319,19,371500,73.3798,54.9832
г. Екатеринбург,59,1322245,3,67000,3,264000,1412346,984,65,1653245,60.6254,56.8338
