ID,NUTS3,NUTS4,NUTS7,NUTS8,PARENT_ID,NAME,New_Name,CITY_ID,CHILDREN_I,HOUSE_HOLD,X,Y,POP_2002,POP_2010,POP_2012,SALARY_2012,POP_2013,SALARY_2013,POP_2014,SALARY_2014
3523,Москва,г. Москва,Центральный округ,Пресненский,77,"г. Москва, Пресненский", Пресненский,77001,1,2.60,37.561985000,55.760322000,116500,123300,124015,63401,124947,68651,125764,72486
3551,Москва,г. Москва,Северо-Западный округ,Северное Тушино,77,"г. Москва, Северное Тушино",Северное Тушино,77001,1,2.60,37.427031000,55.864266000,137600,153400,157569,45858,158479,51114,162050,54780
3584,Москва,г. Москва,Юго-Восточный округ,Выхино-Жулебино,77,"г. Москва, Выхино-Жулебино",Выхино-Жулебино,77001,1,2.60,37.825995000,55.698634000,185600,217100,220711,42629,221137,51170,221807,59977
3617,Москва,г. Москва,Юго-Западный округ,Академический,77,"г. Москва, Академический",Академический,77001,1,2.60,37.577090000,55.689875000,95000,109100,107628,76424,107836,79072,108274,88058
3546,Москва,г. Москва,Северо-Западный округ,Щукино,77,"г. Москва, Щукино",Щукино,77001,1,2.60,37.474400000,55.801600000,91500,103100,106180,45858,107269,51114,108542,54780
